strain,aligned_row,unique_id,intensity
LP306,-61,220719_LP306_bmk-1_01_ch2,5084.1699
LP306,3,220719_LP306_bmk-1_02_ch2,6337.3003
LP306,-1,220719_LP306_bmk-1_09_ch2,7080.124
LP306,-3,230408_LP306_bmk-1_04_ch2,6568.5605
LP306,2,230408_LP306_bmk-1_08_ch2,6793.376
LP306,-3,230408_LP306_bmk-1_10_ch2,6445.8916
LP306,13,230408_LP306_bmk-1_12_ch2,6038.4775
LP306,-82,230408_LP306_bmk-1_13_ch2,9221.4463
LP306,-43,230408_LP306_bmk-1_14_ch2,9248.6699
LP306,2,230408_LP306_bmk-1_15_ch2,11972.7236
LP306,-3,230713_LP306_L4440_03_ch2,9166.2881
LP306,-6,230713_LP306_L4440_04_ch2,8885.5156
LP306,0,230713_LP306_L4440_08_ch2,9493.7451
LP306,-25,230713_LP306_L4440_10_ch2,8251.0762
LP306,-6,230713_LP306_L4440_12_ch2,7907.8242
LP306,-3,230828_LP306_L4440_05_ch2,7622.0181
LP306,2,230828_LP306_L4440_07_ch2,7075.4478
LP306,-1,231107_LP306_bmk-1_01_ch2,7098.9849
LP306,-17,231107_LP306_bmk-1_02_ch2,7437.5137
LP306,-2,231107_LP306_bmk-1_06_ch2,7305.418
LP306,2,231107_LP306_bmk-1_10_ch2,8695.0791
LP306,-1,231113_LP306_bmk-1_04_ch2,7806.0239
LP306,-12,231113_LP306_bmk-1_05_ch2,8030.0771
LP306,-32,231113_LP306_bmk-1_06_ch2,6055.2026
LP306,4,240122_LP306_L4440_01_ch2,15662.8623
LP306,-6,240122_LP306_L4440_06_ch2,11142.583
LP306,-2,240122_LP306_L4440_08_ch2,10762.874
LP306,-8,240122_LP306_L4440_09_ch2,12300.1484
